application_id,school_id,programme_level,tuition_amount,household_income_monthly,number_of_dependents,orphan_status,disability_status,sponsor_type,has_other_scholarship,employment_status,cgpa,academic_standing,years_remaining,state_of_origin,socioeconomic_index,income_bracket,tuition_income_ratio
APP_000172,UNI_001,HND,191151,116774,4,0,0,Parent,0,Unemployed,3.16,Good,1,Plateau,0.32,Lower-Middle,1.64
APP_000173,UNI_003,BSc,380670,189814,5,0,0,Parent,1,Part-time,3.19,Good,3,Plateau,0.66,Upper-Middle,2.01
APP_000174,UNI_005,BSc,360232,309295,2,0,0,Guardian,1,Unemployed,4.5,Good,3,Plateau,0.28,High,1.16
APP_000175,UNI_015,HND,407521,63327,7,0,0,Parent,0,Unemployed,3.88,Good,2,Ekiti,0.69,Lower-Middle,6.44
APP_000176,UNI_014,BSc,255477,160324,1,0,0,None,0,Unemployed,1.75,Good,3,Plateau,0.62,Upper-Middle,1.59
APP_000177,UNI_003,HND,141788,317458,5,0,0,Parent,0,Unemployed,1.92,Good,1,Abuja,0.77,High,0.45
APP_000178,UNI_001,BSc,131529,220344,0,0,1,Parent,0,Unemployed,4.64,Good,2,Lagos,0.62,Upper-Middle,0.6
APP_000179,UNI_005,BSc,192833,329512,6,0,0,Parent,0,Unemployed,2.71,Good,1,Rivers,0.35,High,0.59
APP_000180,UNI_026,BSc,183578,343254,3,0,0,Guardian,0,Full-time,2.12,Good,4,Ondo,0.61,High,0.53
APP_000181,UNI_023,BSc,263455,281003,0,0,0,Parent,0,Unemployed,3.93,Good,2,Ekiti,0.83,High,0.94
APP_000182,UNI_014,BSc,119177,35322,0,0,0,Parent,0,Unemployed,4.4,Good,3,Benue,0.75,Low,3.37
APP_000183,UNI_007,ND,196903,241785,0,0,0,Parent,0,Unemployed,2.18,Good,4,Oyo,0.32,Upper-Middle,0.81
APP_000184,UNI_027,HND,119056,343769,2,0,0,Parent,0,Unemployed,2.33,Good,1,Plateau,0.27,High,0.35
APP_000185,UNI_009,BSc,146421,75504,2,0,0,Parent,0,Unemployed,4.47,Good,3,Ondo,0.87,Lower-Middle,1.94
APP_000186,UNI_015,HND,244704,77631,5,1,0,None,0,Unemployed,1.54,Good,1,Borno,0.72,Lower-Middle,3.15
APP_000187,UNI_015,HND,381829,331383,6,0,0,Guardian,0,Part-time,4.5,Good,2,Osun,0.78,High,1.15
APP_000188,UNI_026,BSc,288294,207370,4,1,0,Parent,0,Unemployed,1.63,Good,4,Abuja,0.83,Upper-Middle,1.39
APP_000189,UNI_010,HND,148590,248121,6,0,0,None,0,Unemployed,1.81,Good,4,Kano,0.53,Upper-Middle,0.6
APP_000190,UNI_028,HND,351121,285111,3,1,0,Guardian,0,Unemployed,4.35,Good,1,Borno,0.81,High,1.23
APP_000191,UNI_013,BSc,432712,57018,5,0,0,Guardian,0,Unemployed,2.32,Probation,1,Plateau,0.29,Low,7.59
APP_000192,UNI_019,ND,391111,203758,0,0,0,None,0,Part-time,2.24,Good,1,Plateau,0.44,Upper-Middle,1.92
APP_000193,UNI_007,MSc,416216,88774,5,0,0,None,1,Unemployed,4.29,Good,2,Kano,0.44,Lower-Middle,4.69
APP_000194,UNI_017,BSc,363644,159585,6,0,0,Parent,0,Part-time,3.29,Good,2,Borno,0.23,Upper-Middle,2.28
APP_000195,UNI_020,BSc,90011,316748,1,0,0,None,0,Part-time,2.66,Good,2,Osun,0.33,High,0.28
APP_000196,UNI_029,ND,259111,268319,5,0,1,None,0,Unemployed,3.86,Good,2,Enugu,0.71,High,0.97
APP_000197,UNI_004,BSc,437479,247414,6,0,0,Guardian,0,Part-time,4.17,Good,3,Lagos,0.52,Upper-Middle,1.77
APP_000198,UNI_030,BSc,80814,87104,5,0,0,Parent,0,Unemployed,4.35,Good,2,Borno,0.62,Lower-Middle,0.93
APP_000199,UNI_005,BSc,362294,128818,6,1,0,Parent,0,Part-time,1.89,Good,2,Kaduna,0.63,Upper-Middle,2.81
APP_000200,UNI_023,ND,83825,116396,0,0,0,Parent,0,Unemployed,3.42,Good,3,Benue,0.35,Lower-Middle,0.72
APP_000201,UNI_007,BSc,130368,197887,5,0,0,Parent,0,Unemployed,3.74,Good,4,Kano,0.85,Upper-Middle,0.66
APP_000202,UNI_013,BSc,155535,24720,7,0,0,Guardian,0,Unemployed,1.88,Good,2,Enugu,0.3,Low,6.29
APP_000203,UNI_015,BSc,166390,60725,3,0,0,Parent,0,Unemployed,3.51,Probation,3,Nasarawa,0.2,Lower-Middle,2.74
APP_000204,UNI_011,BSc,303923,326067,0,0,0,Parent,0,Full-time,1.61,Good,4,Nasarawa,0.38,High,0.93
APP_000205,UNI_029,BSc,185076,321437,2,0,0,Parent,0,Unemployed,2.63,Good,1,Kogi,0.55,High,0.58
APP_000206,UNI_004,BSc,286089,232691,2,0,0,Guardian,1,Part-time,2.07,Good,4,Kogi,0.32,Upper-Middle,1.23
